2026-06-09 14:29:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:30:17 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:31:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:34:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:35:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=e28622.a.akamaiedge.net
2026-06-09 14:35:17 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=e28622.a.akamaiedge.net
2026-06-09 14:35:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=e28622.a.akamaiedge.net
2026-06-09 14:35:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:36:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:36:17 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=z-p42-instagram.c10r.instagram.com
2026-06-09 14:36:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=z-p42-instagram.c10r.instagram.com
2026-06-09 14:40:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:44:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:44:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=157.240.208.174
2026-06-09 14:45:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:46:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:47:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.11
2026-06-09 14:48:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.11
2026-06-09 14:50:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:52:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:52:57 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=tiktok.com
2026-06-09 14:53:27 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.11
2026-06-09 14:53:37 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.11
2026-06-09 14:53:47 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.11
2026-06-09 14:54:07 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.11
2026-06-09 14:54:17 | MASUK BLOK SOSMED | MAC=82:BF:E3:71:2A:37 | DST=23.214.169.11
2026-06-09 14:55:07 | MASUK BLOK SOSMED | MAC=9C:C7:D3:D3:0D:48 | DST=23.214.169.11
